depth,strat,min,max,median,mean,Acer rubrum,Amaranthaceae,Ambrosia-type,Anacardiaceae,Asteroideae undiff.,Betula,Carya,Cyperaceae,Fagus,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Lemnoideae,Liquidambar,Lycopodium-type,Nyssa,Osmunda,Pinus,Plantago,Platanus,Poaceae undiff.,Potentilla-type,Quercus,Rhamnaceae/Vitaceae undiff.,Rubiaceae,Rumex,Salix,Tsuga,Ulmus,Urtica-type,Alnus incana-type,Artemisia,Castanea,Dryopteris-type,Ericaceae,Ostrya/Carpinus,Poaceae (Cerealia),Sparganium-type,Abies,Juglans nigra,Picea,Pteridium-type,Sphagnum,Unknown,Acer saccharum-type,Fraxinus nigra-type,Populus,Corylus,Myrica,Thalictrum,Polygonum sensu lato,Typha latifolia,Caprifoliaceae sensu lato,Diospyros-type,Potamogetonaceae,Sagittaria,Rhamnaceae,Brasenia schreberi,Isoëtes,Sanguisorba,Alnus viridis-type,Caryophyllaceae,Nuphar,Onagraceae,Spermatophyta undiff. (aquatics),Cichorioideae,Cupressaceae,Menyanthes trifoliata,Myriophyllum,Lamiaceae,Polypodiophyta undiff.,Athyrium,Polemoniaceae,Brassicaceae,Equisetum,Campanulaceae
190,organic silt with plant fragments,13657,14152,13932,13923,0,0,0,0,2.53164557,3.164556962,0,1.265822785,0,0,0,0.316455696,0,0,1.265822785,0,0,13.29113924,0,0,4.746835443,0.949367089,1.898734177,0,0,0,0.632911392,0,0,0.632911392,2.53164557,0.316455696,0,3.481012658,0,0.316455696,0,0.316455696,0,0.316455696,50.3164557,0.316455696,0,0.632911392,0,0.316455696,0.316455696,0,0,0.316455696,0,0,0,0,0,0,0,0,3.797468354,2.53164557,0,0,0,0,0,0,0,0,0,0,0,3.481012658,0,0,0,0
200,organic silt with plant fragments,13707,14201,13978,13971,0,0.314465409,0,0,3.773584906,2.201257862,0,0.628930818,0,0,0,0,0,0,0.943396226,0,0,12.57861635,0,0,2.830188679,0,2.830188679,0,0,0.314465409,0.314465409,0,0.314465409,0.943396226,3.144654088,0.314465409,0,2.201257862,0,0.314465409,0,0,0,0,50,0,0.628930818,0,0,0,0,0.943396226,0.314465409,0.314465409,0,0,0,0,0,0,0,0,5.660377358,5.974842767,1.886792453,0,0,0,0,0,0.314465409,0,0,0,0,0,0,0,0,0
210,organic silt with plant fragments,13762,14250,14026,14020,0,0,0.317460317,0,3.80952381,3.492063492,0,0.634920635,0,0,0,0,0,0,0.317460317,0,0,13.33333333,0,0,3.174603175,0.317460317,1.904761905,0,0,0,0.952380952,0,0,0,1.587301587,0,0,2.53968254,0.634920635,0.634920635,0,0,0,0,53.01587302,0,0,0,0,0,0,0,0,0.634920635,0,0,0,0,0,0,0,0,2.53968254,5.396825397,1.904761905,0,0,0,0,0,0.317460317,0,0,0,0,2.53968254,0,0,0,0
220,organic silt with plant fragments,13812,14301,14073,14069,0,0.316455696,0.316455696,0,4.746835443,5.696202532,0.316455696,2.215189873,0.316455696,0,0,0,0,0,2.215189873,0,0,13.92405063,0,0,3.164556962,1.582278481,1.265822785,0,0.316455696,0,0.316455696,0,0.316455696,0,6.012658228,0.632911392,0,1.265822785,0.316455696,0.316455696,0,0.316455696,0.316455696,0,42.72151899,0,0.632911392,0,0,0,0,0.632911392,0,0.632911392,0,0,0,0,0,0,0,0,2.53164557,5.063291139,0,0,0,0,0,0,0.316455696,0,0,0,0,1.265822785,0,0,0,0
230,organic silt with plant fragments,13865,14350,14120,14118,0,0,0,0,5.194805195,6.168831169,0,1.298701299,0,0.324675325,0,0,0,0,0,0,0,9.415584416,0,0,5.194805195,0.649350649,3.571428571,0,0.324675325,0.324675325,0.974025974,0,0,0.324675325,3.896103896,0.649350649,0,1.948051948,0.324675325,0.324675325,0,0,0,0,50.32467532,0.649350649,0.324675325,0,0,1.298701299,0,0,0,0,0,0,0,0,0,0,0,0,2.272727273,4.220779221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,organic silt with plant fragments,13887,14373,14143,14141,0,0,0.3125,0,5.9375,9.0625,0.625,1.875,0,0,0,0,0,0,0.9375,0,0,12.5,0,0,4.375,0,1.25,0,0,0.3125,0,0,0.3125,0,2.8125,0,0,0.3125,0,0.3125,0,0.3125,0.9375,0,47.1875,0,0,0.625,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,4.6875,4.375,0.3125,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0
240,organic silt with plant fragments,13909,14394,14165,14162,0,0,0.313479624,0,4.388714734,16.92789969,0,2.194357367,0,0,0,0,0,0,0.626959248,0,0,14.10658307,0,0,10.97178683,0,1.567398119,0,0,0.313479624,0.940438871,0,0.626959248,0,2.821316614,0,0,0.626959248,0,0.626959248,0,0.940438871,0,0,33.54231975,0.626959248,0,0,0,0.313479624,0,0,0,0,0,0,0,0,0,0,0,0,4.702194357,1.253918495,0,0.313479624,0,0,0,0,0.626959248,0,0.313479624,0,0,0,0,0,0,0.313479624
245,organic silt with plant fragments,13933,14417,14186,14184,0,0,0.289017341,0,3.757225434,17.6300578,0,5.49132948,0,0,0,0,0,0,0.289017341,0,0,13.29479769,0,0,13.87283237,0,1.445086705,0,0,0.289017341,0,0,0,0.289017341,1.734104046,0,0,0.289017341,0,0,0,0,0.867052023,0,21.96531792,0,0,0.289017341,0,0,0,0,0,0.289017341,0.289017341,0,0,0,0,0,0,0,13.00578035,1.445086705,1.156069364,0.578034682,0,0,0,0.289017341,1.156069364,0,0,0,0,0,0,0,0,0
252,banded silt,13971,14449,14216,14214,0,0,0,0,2.875399361,17.8913738,0.319488818,5.111821086,0,0,0,0.319488818,0,0,0.319488818,0,0,20.76677316,0,0,23.00319489,0,2.555910543,0,0,0.319488818,0.638977636,0,0,0.319488818,1.916932907,0.319488818,0,0.958466454,0,0,0,0,0.319488818,0,15.01597444,0,0,0,0,0.319488818,0.319488818,0,0,0.319488818,0.319488818,0,0,0,0,0,0,0,3.514376997,0.319488818,0,0.319488818,0,0,0,0,0.319488818,0,0,0,0.638977636,0.319488818,0,0,0,0.319488818
255,banded silt,13982,14462,14228,14226,0,0,0,0,3.703703704,25.25252525,0,7.744107744,0,0,0,0,0,0,1.01010101,0,0,12.45791246,0,0,34.00673401,0,1.346801347,0,0,0.673400673,1.346801347,0,0,0,1.683501684,0.673400673,0,0.336700337,0,0,0,0,0,0,7.407407407,0,0,0,0,0,0,0,0,0.336700337,0,0,0,0,0,0,0,0,0.673400673,0,0.336700337,0.336700337,0,0,0,0,0.673400673,0,0,0,0,0,0,0,0,0
